Comune;Provincia;Regione;Nome;Anno inserimento;Data e ora inserimento;Identificatore in OpenStreetMap;Longitudine;Latitudine
MONCALIERI;CITTA' METROPOLITANA DI TORINO;Piemonte;Università delle Tre Età;2013;2013-01-28T12:34:45Z;2132258218;7.6824901;44.9995813999999
TORINO;CITTA' METROPOLITANA DI TORINO;Piemonte;Accademia Albertina;2013;2013-10-21T13:56:32Z;2503902059;7.6897297;45.0675807
TORINO;CITTA' METROPOLITANA DI TORINO;Piemonte;Accademia di medicina;2015;2015-02-24T20:43:51Z;3363964793;7.6895223;45.0684189999999
TORINO;CITTA' METROPOLITANA DI TORINO;Piemonte;Dipartimento di Scienze della Vita e Biologia de;2013;2013-12-12T13:24:52Z;2577029282;7.6882857;45.0652864999999
TORINO;CITTA' METROPOLITANA DI TORINO;Piemonte;Dipartimento di Scienze della Vita e Biologia de;2014;2014-03-12T14:09:22Z;2714024340;7.6870107;45.0550943
TORINO;CITTA' METROPOLITANA DI TORINO;Piemonte;"DISMA - Dipartimento di Scienze Matematiche """"Gi";2014;2014-03-24T12:25:56Z;2739282251;7.6618159;45.0626528
TORINO;CITTA' METROPOLITANA DI TORINO;Piemonte;Facoltà di Architettura;2012;2012-11-12T08:55:24Z;2010253896;7.6867628;45.0540489999999
TORINO;CITTA' METROPOLITANA DI TORINO;Piemonte;GeoClimAlp;2014;2014-07-14T07:44:47Z;2960715234;7.6414502;45.0173318
TORINO;CITTA' METROPOLITANA DI TORINO;Piemonte;Ingegneria dell'Autoveicolo;2011;2011-10-06T19:49:36Z;1172116313;7.6675409;45.0342752
TORINO;CITTA' METROPOLITANA DI TORINO;Piemonte;Segreteria Studenti MFN;2013;2013-12-12T13:23:48Z;2577028412;7.6888859;45.0656772999999
TORINO;CITTA' METROPOLITANA DI TORINO;Piemonte;Università degli Studi di Torino - Dipartimento;2011;2011-04-14T16:47:01Z;227835422;7.6818071;45.0520507
TORINO;CITTA' METROPOLITANA DI TORINO;Piemonte;Università  di Torino - Dipartimento di Studi P;2012;2012-11-17T12:55:10Z;2018055299;7.6899977;45.0651023
TORINO;CITTA' METROPOLITANA DI TORINO;Piemonte;Università di Torino - Mineralogia Petrografia;2012;2012-11-17T12:55:10Z;2018055301;7.6887448;45.0636236
TORINO;CITTA' METROPOLITANA DI TORINO;Piemonte;Università  di Torino - Rettorato;2012;2012-11-26T14:13:17Z;2018087957;7.6891162;45.0693441
VINOVO;CITTA' METROPOLITANA DI TORINO;Piemonte;St. John International University;2015;2015-04-27T17:08:05Z;3355673597;7.6321335;44.9498433999999
ASTI;ASTI;Piemonte;Polo universitario di Asti;2013;2013-11-26T17:45:04Z;2440717352;8.210464;44.9030165
ALESSANDRIA;ALESSANDRIA;Piemonte;Scienze Infermieristiche;2015;2015-06-01T14:04:16Z;3556356546;8.6257725;44.9169867999999
VERRES;AOSTA;Valle d'Aosta;Politecnico Di Torino - Sede Decentrata Di Verre;2015;2015-02-26T19:58:39Z;1732839046;7.6898816;45.6649976
GENOVA;CITTA' METROPOLITANA DI GENOVA;Liguria;Facoltà di Lingua e Letterature straniere;2015;2015-10-19T21:34:01Z;496999018;8.9277123;44.4132985
GENOVA;CITTA' METROPOLITANA DI GENOVA;Liguria;Laboratorio di Geodesia, Geomatica e GIS;2015;2015-05-14T13:29:30Z;1786322470;8.9631028;44.4002702
GENOVA;CITTA' METROPOLITANA DI GENOVA;Liguria;Università degli Studi di Genova;2014;2014-01-09T07:10:18Z;2615895568;8.9266707;44.4148860999999
VARESE;VARESE;Lombardia;Collegio Universitario Carlo Catteneo;2013;2013-11-06T21:31:55Z;2522613842;8.8506889;45.7963749
VARESE;VARESE;Lombardia;DICOM - Università degli Studi dell'Insubria;2012;2012-01-21T03:48:16Z;938109622;8.8286645;45.8162517
VENEGONO INFERIORE;VARESE;Lombardia;Seminario Arcivescovile di Milano;2010;2010-09-15T15:10:41Z;911983563;8.9080719;45.7342806999999
COMO;COMO;Lombardia;LNESS Laboratory for Epitaxial Nanostructures an;2016;2016-01-18T19:48:50Z;3954132656;9.09278089999999;45.8012159
MILANO;CITTA' METROPOLITANA DI MILANO;Lombardia;Accademia di belle arti di Brera;2014;2014-12-10T15:52:28Z;2529966718;9.1878197;45.4719418
MILANO;CITTA' METROPOLITANA DI MILANO;Lombardia;Facoltà di Agraria;2008;2008-05-08T20:43:49Z;249554065;9.227541;45.4765761999999
MILANO;CITTA' METROPOLITANA DI MILANO;Lombardia;Facoltà di Medicina Veterinaria;2009;2009-11-01T11:50:41Z;249554066;9.2290858;45.4765938
MILANO;CITTA' METROPOLITANA DI MILANO;Lombardia;U9;2014;2014-11-30T22:27:32Z;3213359363;9.2112608;45.5109532999999
MILANO;CITTA' METROPOLITANA DI MILANO;Lombardia;Università degli Studi di Milano;2009;2009-07-15T09:05:46Z;304665165;9.186723;45.4611907
BERGAMO;BERGAMO;Lombardia;Università degli studi di Bergamo;2015;2015-10-14T14:16:15Z;3786156525;9.6606925;45.7045348999999
BERGAMO;BERGAMO;Lombardia;Università degli Studi di Bergamo;2011;2011-01-17T12:27:32Z;1107498920;9.6717382;45.7051537999999
BRESCIA;BRESCIA;Lombardia;Università Cattolica del Sacro Cuore;2013;2013-10-19T22:23:25Z;2502165040;10.2150274;45.5351031
